state,date,positive cases
District of Columbia,2020-03-07,1
District of Columbia,2020-03-08,1
District of Columbia,2020-03-09,4
District of Columbia,2020-03-10,4
District of Columbia,2020-03-11,10
District of Columbia,2020-03-12,10
District of Columbia,2020-03-13,10
District of Columbia,2020-03-14,16
District of Columbia,2020-03-15,17
District of Columbia,2020-03-16,22
District of Columbia,2020-03-17,31
District of Columbia,2020-03-18,36
District of Columbia,2020-03-19,39
District of Columbia,2020-03-20,71
District of Columbia,2020-03-21,77
District of Columbia,2020-03-22,98
District of Columbia,2020-03-23,116
District of Columbia,2020-03-24,137
District of Columbia,2020-03-25,183
District of Columbia,2020-03-26,231
District of Columbia,2020-03-27,267
District of Columbia,2020-03-28,304
District of Columbia,2020-03-29,342
District of Columbia,2020-03-30,401
District of Columbia,2020-03-31,495
District of Columbia,2020-04-01,586
District of Columbia,2020-04-02,653
District of Columbia,2020-04-03,757
District of Columbia,2020-04-04,902
District of Columbia,2020-04-05,998
District of Columbia,2020-04-06,1097
District of Columbia,2020-04-07,1211
District of Columbia,2020-04-08,1440
District of Columbia,2020-04-09,1523
District of Columbia,2020-04-10,1660
District of Columbia,2020-04-11,1778
District of Columbia,2020-04-12,1875
District of Columbia,2020-04-13,1955
District of Columbia,2020-04-14,2058
District of Columbia,2020-04-15,2197
District of Columbia,2020-04-16,2350
District of Columbia,2020-04-17,2476
District of Columbia,2020-04-18,2666
District of Columbia,2020-04-19,2793
District of Columbia,2020-04-20,2927
District of Columbia,2020-04-21,3098
District of Columbia,2020-04-22,3206
District of Columbia,2020-04-23,3361
District of Columbia,2020-04-24,3528
District of Columbia,2020-04-25,3699
District of Columbia,2020-04-26,3841
District of Columbia,2020-04-27,3892
District of Columbia,2020-04-28,3994
District of Columbia,2020-04-29,4106
District of Columbia,2020-04-30,4323
District of Columbia,2020-05-01,4658
District of Columbia,2020-05-02,4797
District of Columbia,2020-05-03,5016
District of Columbia,2020-05-04,5170
District of Columbia,2020-05-05,5322
District of Columbia,2020-05-06,5461
District of Columbia,2020-05-07,5654
District of Columbia,2020-05-08,5899
District of Columbia,2020-05-09,6102
District of Columbia,2020-05-10,6272
District of Columbia,2020-05-11,6389
District of Columbia,2020-05-12,6485
District of Columbia,2020-05-13,6584
District of Columbia,2020-05-14,6736
District of Columbia,2020-05-15,6871
District of Columbia,2020-05-16,7042
District of Columbia,2020-05-17,7123
District of Columbia,2020-05-18,7270
District of Columbia,2020-05-19,7434
District of Columbia,2020-05-20,7551
District of Columbia,2020-05-21,7788
District of Columbia,2020-05-22,7893
District of Columbia,2020-05-23,7966
District of Columbia,2020-05-24,8110
District of Columbia,2020-05-25,8225
District of Columbia,2020-05-26,8334
District of Columbia,2020-05-27,8406
District of Columbia,2020-05-28,8492
District of Columbia,2020-05-29,8538
District of Columbia,2020-05-30,8717
District of Columbia,2020-05-31,8801
District of Columbia,2020-06-01,8857
District of Columbia,2020-06-02,8886
District of Columbia,2020-06-03,9016
District of Columbia,2020-06-04,9120
District of Columbia,2020-06-05,9199
District of Columbia,2020-06-06,9269
District of Columbia,2020-06-07,9332
District of Columbia,2020-06-08,9389
District of Columbia,2020-06-09,9474
District of Columbia,2020-06-10,9537
District of Columbia,2020-06-11,9589
District of Columbia,2020-06-12,9654
District of Columbia,2020-06-13,9709
District of Columbia,2020-06-14,9767
District of Columbia,2020-06-15,9799
District of Columbia,2020-06-16,9818
District of Columbia,2020-06-17,9847
District of Columbia,2020-06-18,9903
District of Columbia,2020-06-19,9952
District of Columbia,2020-06-20,9984
District of Columbia,2020-06-21,10020
District of Columbia,2020-06-22,10058
District of Columbia,2020-06-23,10094
District of Columbia,2020-06-24,10128
District of Columbia,2020-06-25,10159
District of Columbia,2020-06-26,10185
District of Columbia,2020-06-27,10216
District of Columbia,2020-06-28,10248
District of Columbia,2020-06-29,10292
District of Columbia,2020-06-30,10327
District of Columbia,2020-07-01,10365
District of Columbia,2020-07-02,10390
District of Columbia,2020-07-03,10435
District of Columbia,2020-07-04,10447
District of Columbia,2020-07-05,10482
District of Columbia,2020-07-06,10515
District of Columbia,2020-07-07,10569
District of Columbia,2020-07-08,10642
District of Columbia,2020-07-09,10679
District of Columbia,2020-07-10,10743
District of Columbia,2020-07-11,10801
District of Columbia,2020-07-12,10847
District of Columbia,2020-07-13,10906
District of Columbia,2020-07-14,10946
District of Columbia,2020-07-15,11026
District of Columbia,2020-07-16,11076
District of Columbia,2020-07-17,11115
District of Columbia,2020-07-18,11194
District of Columbia,2020-07-19,11261
District of Columbia,2020-07-20,11339
District of Columbia,2020-07-21,11427
District of Columbia,2020-07-22,11529
District of Columbia,2020-07-23,11571
District of Columbia,2020-07-24,11649
District of Columbia,2020-07-25,11717
District of Columbia,2020-07-26,11780
District of Columbia,2020-07-27,11858
District of Columbia,2020-07-28,11945
District of Columbia,2020-07-29,11999
District of Columbia,2020-07-30,12057
District of Columbia,2020-07-31,12126
District of Columbia,2020-08-01,12205
District of Columbia,2020-08-02,12274
District of Columbia,2020-08-03,12313
District of Columbia,2020-08-04,12398
District of Columbia,2020-08-05,12443
District of Columbia,2020-08-06,12518
District of Columbia,2020-08-07,12589
